periodo,ipca_mensal
1979-12-01,
1980-01-01,6.62
1980-02-01,4.62
1980-03-01,6.04
1980-04-01,5.29
1980-05-01,5.7
1980-06-01,5.31
1980-07-01,5.55
1980-08-01,4.95
1980-09-01,4.23
1980-10-01,9.48
1980-11-01,6.67
1980-12-01,6.61
1981-01-01,6.84
1981-02-01,6.4
1981-03-01,4.97
1981-04-01,6.46
1981-05-01,5.56
1981-06-01,5.52
1981-07-01,6.26
1981-08-01,5.5
1981-09-01,5.26
1981-10-01,5.08
1981-11-01,5.27
1981-12-01,5.93
1982-01-01,6.97
1982-02-01,6.64
1982-03-01,5.71
1982-04-01,5.89
1982-05-01,6.66
1982-06-01,7.1
1982-07-01,6.36
1982-08-01,5.97
1982-09-01,5.08
1982-10-01,4.44
1982-11-01,5.29
1982-12-01,7.81
1983-01-01,8.64
1983-02-01,7.86
1983-03-01,7.34
1983-04-01,6.58
1983-05-01,6.48
1983-06-01,9.88
1983-07-01,10.08
1983-08-01,9.11
1983-09-01,10.3
1983-10-01,8.87
1983-11-01,7.38
1983-12-01,8.68
1984-01-01,9.67
1984-02-01,9.5
1984-03-01,8.94
1984-04-01,9.54
1984-05-01,9.05
1984-06-01,10.08
1984-07-01,9.72
1984-08-01,9.35
1984-09-01,11.75
1984-10-01,10.44
1984-11-01,10.53
1984-12-01,11.98
1985-01-01,11.76
1985-02-01,10.87
1985-03-01,10.16
1985-04-01,8.2
1985-05-01,7.2
1985-06-01,8.49
1985-07-01,10.31
1985-08-01,12.05
1985-09-01,11.12
1985-10-01,10.62
1985-11-01,13.97
1985-12-01,15.07
1986-01-01,14.37
1986-02-01,12.72
1986-03-01,4.77
1986-04-01,0.78
1986-05-01,1.4
1986-06-01,1.27
1986-07-01,1.71
1986-08-01,3.55
1986-09-01,1.72
1986-10-01,1.9
1986-11-01,5.45
1986-12-01,11.65
1987-01-01,13.21
1987-02-01,12.64
1987-03-01,16.37
1987-04-01,19.1
1987-05-01,21.45
1987-06-01,19.71
1987-07-01,9.21
1987-08-01,4.87
1987-09-01,7.78
1987-10-01,11.22
1987-11-01,15.08
1987-12-01,14.15
1988-01-01,18.89
1988-02-01,15.7
1988-03-01,17.6
1988-04-01,19.29
1988-05-01,17.42
1988-06-01,22.0
1988-07-01,21.91
1988-08-01,21.59
1988-09-01,27.45
1988-10-01,25.62
1988-11-01,27.94
1988-12-01,28.7
1989-01-01,37.49
1989-02-01,16.78
1989-03-01,6.82
1989-04-01,8.33
1989-05-01,17.92
1989-06-01,28.65
1989-07-01,27.74
1989-08-01,33.71
1989-09-01,37.56
1989-10-01,39.77
1989-11-01,47.82
1989-12-01,51.5
1990-01-01,67.55
1990-02-01,75.73
1990-03-01,82.39
1990-04-01,15.52
1990-05-01,7.59
1990-06-01,11.75
1990-07-01,12.92
1990-08-01,12.88
1990-09-01,14.41
1990-10-01,14.36
1990-11-01,16.81
1990-12-01,18.44
1991-01-01,20.75
1991-02-01,20.72
1991-03-01,11.92
