data,valor
2000-02-01,86.03
2000-03-01,87.43
2000-04-01,89.21
2000-05-01,87.64
2000-06-01,89.04
2000-07-01,88.95
2000-08-01,86.98
2000-09-01,88.28
2000-10-01,85.06
2000-11-01,87.44
2000-12-01,87.0
2001-01-01,88.71
2001-02-01,89.16
2001-03-01,88.93
2001-04-01,87.14
2001-05-01,91.0
2001-06-01,90.97
2001-07-01,83.86
2001-08-01,89.49
2001-09-01,88.48
2001-10-01,89.7
2001-11-01,88.7
2001-12-01,87.63
2002-01-01,88.35
2002-02-01,87.04
2002-03-01,86.38
2002-04-01,86.17
2002-05-01,85.28
2002-06-01,84.73
2002-07-01,88.87
2002-08-01,91.38
2002-09-01,88.84
2002-10-01,89.56
2002-11-01,89.37
2002-12-01,83.99
2003-01-01,87.17
2003-02-01,87.75
2003-03-01,87.21
2003-04-01,85.52
2003-05-01,73.41
2003-06-01,82.42
2003-07-01,83.66
2003-08-01,86.35
2003-09-01,85.98
2003-10-01,87.86
2003-11-01,87.24
2003-12-01,82.51
2004-01-01,87.98
2004-02-01,88.84
2004-03-01,89.62
2004-04-01,84.76
2004-05-01,91.88
2004-06-01,93.99
2004-07-01,90.55
2004-08-01,86.68
2004-09-01,88.22
2004-10-01,87.8
2004-11-01,87.44
2004-12-01,87.44
2005-01-01,90.12
2005-02-01,90.33
2005-03-01,91.54
2005-04-01,95.35
2005-05-01,87.52
2005-06-01,92.97
2005-07-01,97.68
2005-08-01,95.59
2005-09-01,96.69
2005-10-01,96.56
2005-11-01,94.49
2005-12-01,97.91
2006-01-01,95.57
2006-02-01,96.26
2006-03-01,93.74
2006-04-01,92.97
2006-05-01,93.3
2006-06-01,92.45
2006-07-01,94.23
2006-08-01,96.46
2006-09-01,98.81
2006-10-01,96.19
2006-11-01,100.69
2006-12-01,98.32
2007-01-01,100.29
2007-02-01,100.68
2007-03-01,102.21
2007-04-01,96.85
2007-05-01,110.13
2007-06-01,106.36
2007-07-01,104.18
2007-08-01,107.76
2007-09-01,105.54
2007-10-01,109.28
